name,description
Dotcomweavers,"About Us
Dotcomweavers is a New Jersey/New York based web design and development company specializing in custom websites, eCommerce, web application development, content management systems and search engine optimization. 

Our Vision
At Dotcomweavers, our experience is your advantage. Each member of our team holds strong to the unique vision of providing the highest quality web solutions, exceeding the goals and expectations of our clients. Here, we pride ourselves in being able to connect with your business ideas, turning the vision you have into a reality: a high quality website that shines above your competitors. Dotcomweavers is always actively researching new trends and cutting edge technology. Constantly enhancing our services allows us to be able to bring your online business to the forefront in the midst of the continuously evolving Internet.

Company History
Our humble beginnings prove that we share a similar story with you and many of our clients. We began with three individuals with just an idea which was to offer web design and development services in a unique way that would be effective and efficient. The idea was not only to benefit ourselves but offer our talent, skills and knowledge to entrepreneurs, business owners and others with a great business vision who need their ideas transformed into a website. Our growth in the past years illustrates the level of dedication and commitment we have given our clients. Today we are a highly dedicated team of 22+ individuals who are handpicked, highly skilled web services experts. We are a full-fledged development organization and are proud to deliver effective and efficient web solutions at affordable prices.

Our Team
At Dotcomweavers Inc., we know that our success as a whole is deeply rooted in the strength of our entire team. We have gone to great lengths to ensure that our remarkable team is comprised of highly skilled professionals. Each and every one are experts in their own right. Our skills and experience have focused on, but are certainly not limited to: PHP, MySQL, Web 2.0, AJAX. Our knowledge and expertise constantly expand through every new project we create and our own research efforts to take our team to a level above the rest. It takes more than just plain programming knowledge to stand out from the competition. We credit our success to the remarkable team of incredibly intelligent and driven experts in our company.

Our Customers
Many thriving corporations and large businesses have their set methods of Online Marketing and E-commerce. For this reason, Dotcomweavers focuses on offering web solutions mostly to small and medium businesses as well as startups. Today most small businesses and entrepreneurs are still not exactly sure how Internet tools and this medium are supposed to be incorporated into their business and marketing models to maximize returns. Dotcomweavers works to empower small businesses with the web solutions they need to create efficient methods for improving performance and boosting business. As for entrepreneurs, it is always a challenge to start up a new business. Our solid experience in providing web solutions to entrepreneurs gives us the advantage of understanding what is needed to be done to launch or improve your online business. Our goal has been to help our clients lower their marketing costs and increase returns. Unlike other web development firms, we take the time to thoroughly explain how our solutions will benefit your business. Ultimately, we aim to have a solid relationship with you that will give your business the opportunity to utilize our cutting edge internet technology and services.

Our Location
We are easily accessible and always available. You can find us online or in Paramus, NJ (just 20 minutes from New York City). This spot is highly convenient for most of our customers, who are from New Jersey and New York."
Courion Corporation,"Courion Corporation is the leader in identity and access management (IAM) solutions that effectively and securely manage user access risk. More than 14 million users in 500 organizations worldwide rely on Courion's access risk management solutions to align user access privileges with corporate and regulatory governance policies.
 
Courion solutions enable organizations to quickly identify, quantify and manage access risks to vital information such as intellectual property, medical records, personally identifiable information and customer data, while demonstrating compliance with regulatory requirements. Courion's cloud and on-premise solutions offer full arrays of IAM functions such as: identity and access governance, user provisioning and password management, in affordable packages that deliver faster time to value than other industry solutions."
Adgregate Markets,"Sausalito, CA

Adgregate Markets is the leading provider of secure advertising and social commerce solutions. ShopFans turns social shopping on Facebook from conversations into conversions and is the only secure social commerce solutions in the market. More IR Top 500 companies and big brands use ShopFans than any other Facebook commerce provider. ShopAds guide prospective customers from the point of discovery to the point of purchase entirely within innovative online and mobile ads. Adgregate is a privately held company based in the San Francisco Bay Area and is venture-backed by leading investors. Adgregate has received numerous industry awards for its innovative advertising technology, including ad:tech's White Hot Company, Techcrunch50 Finalist, and AlwaysOn OnMedia 100 Winner, recognizing the top private companies in digital media and advertising."
Du Nguyen,
PlayPhone,"PlayPhone provides social gaming solutions to the world's leading wireless carriers, aggregating a global gaming community and offering game developers quick access to millions of gamers, seamless monetization and powerful marketing opportunities.

Game developers can use the FREE SDK to give games access to worldwide distribution through traditional, indie and carrier app stores, instant player matching, social gaming hooks and social network integration, virtual economy management tools, real-time analytics and the most advanced payment solutions available including one-click carrier billing. Integration takes just a few hours. 

Headquartered in San Francisco, PlayPhone has a presence in more than 25 countries throughout North America, Europe, Asia, and Latin America. The FREE SDK is available at developer.playphone.com"
Rupture,"Rupture was an online destination connecting gamers and allowing them to share gaming experiences, events, challenges, and achievements. The site was founded by Shawn Fanning and investor Ron Conway. After working together with the original Napster and then with music distributor [Snocap](http://crunchbase.com/company/snocap), the two began work on Rupture, a social network for MMORPGs; primarily for World of WarCraft (WOW) gamers.

The company was based in San Francisco, California. Parent company ThreeSF, Inc., was acquired by [Electronic Arts](/company/electronic-arts) on May 28, 2008."
Cactus Commerce,"Cactus Commerce delivers digital commerce and marketing solutions that create engaging and interactive brand experiences. Cactus leverages its CommerceLive solution to enable content, community and commerce across channels. Since 1995 Cactus has delivered B2C and B2B commerce solutions to customers in the retail, consumer goods, media & entertainment, and manufacturing industries. Clients include GameStop, Church & Dwight, Sam's Club, PowerBar and many more. "
Dada Entertainment,"Formed in October 2007, Dada Entertainment is launching the next generation of ubiquitous personalization and entertainment services. The only company offering both ringtones and DRM-free full-length MP3s for mobile and PC paid via the mobile phone, Dada Entertainment is a growing leader in the U.S. market. 

About Dada

Dada Entertainment is the subsidiary for Dada S.p.A. in the US
Dada is an international leader in Community and Entertainment services via web and mobile, as well as in Domain, Hosting and advanced online Advertising solutions.

Listed on the MTA market in the STAR (DA.MI) segment of the Italian Stock Exchange has among its shareholders the RCS MediaGroup, with approximately 49.5% of the share capital.
More than 600 highly skilled professional currently work in Dada among its offices in Florence, Milan, Bergamo, New York, Barcelona, Paris, London, Worcester, Rio Janeiro.

Today, Dada is divided into 2 business areas: Dada.net (www.dada.net, community & entertainment services focused on music) and Dada.pro (www.dada.pro, professional services and advertising on the Internet).
On June 24, 2009, furthering the development of a more extensive partnership, Dada and Sony Music signed a strategic agreement including the acquisition by Sony Music of a 13% stake in Dada.net against the conferment of its holding in the Joint Venture Dada Entertainment."
payolution,"payolution is offering seamless white-label invoicing and instalment solutions for e-retail and travel. Invoice is by far the preferred payment method by consumers and therefore conversion rates at the check-out by up to 80%. Payment by installments are hardly offered in Europe as merchants were not able to take the risk and refinance outstanding money. Therefore payolution is absorbing the credit risk and paying the merchant in advance. 

payolution is based in Vienna and was founded by Michael Altrichter (co-founder paysafecard) and Stefan Kalteis (co-founder 123people)."
Testimonial Monkey,"Testimonial Monkey makes it easy for companies to get feedback from their customers.  All of the feedback is guaranteed to be shown and the user can respond publicly to each review which enables the service to be used as a two way communication and customer service tool, helping to improve customer satisfaction and reduce product returns.  

How it works: Your customers are asked to provide a testimonial and once given they are displayed on your own unique page at Testimonial Monkey.  You can also choose to integrate and automatically display them on your own website and social media accounts.  You can also respond publicly to the customer comments, so the process is an interactive two way one.

This honest and open approach to customer feedback helps businesses to improve website conversion rates and boost company profits.  Reviews can also be shared with social media sites such as Facebook and Twitter helping businesses to build their online reputation and brand.

There are five separate plans, so there is something here for everyone. The cheapest plan works out at ﾂ｣29 per month, but this has limited functionality and services. The most expensive is designed for enterprises at ﾂ｣499 per month. No matter which plan you prefer, the site gives you access to a 30-day free trial too.
"
Quifo,"Quifo is a search tool that is designed to find quick, descriptive summaries on the Web. Sometimes when you read something, you just want a quick summary and quick information of the concept. [Wikipedia](/product/wikipedia) is sometimes too overwhelming and [Google](/company/google) isn't the most efficient mechanism for fast summary info. Quifo is an attempt to get people that information quickly - to the point, quick summaries.

"
Rush Hour,"Rush Hour provides real time action and event based web analytics.  They are set to launch in late 2008, but are currently testing their technology with TweetRush, their primary product."
spreet.it,"Spreet.it, short for 'spread it in your street', is a map based tool which brings together people that do not know each other yet. Put in a nutshell, users are able to spread a locally relevant message from a defined position on a map. 
In addition to that, users place virtual antennas on a map and define a radius in which they want to listen to messages by other users. By doing so, users can listen to messages spread in different areas they have an interest in without being physically present. We do not consider ourselves to be part of social media as we know it, but more precisely of what we would name 'local media'.

The team is quite straightforward at the moment. Roman is a professional coder specializing on ruby on rails and edgy developments of all kinds. He has gained a lot of experience working as a freelancer for different companies throughout the past years. Mathis is a law student just about graduating from Bucerius Law School in Hamburg. He has experience in e-commerce and is the project manager at spreet.it. We are close friends and are more than just passionate for our 'baby' - we have spent hours and hours on spreet.it in the past months and think of improvements day and night. We are open for any criticism, feedback, or partnership. Feel free to contact us, we wil get back to you as soon as possible.

We are still self-funded, but we are looking for a strong partner and investor. By now we have a public beta-version of spreet.it online. We are seeking feedback and proceeding the work on our web app. The iPhone app will be presented very soon."
TelPlexus,"TelPlexus is an innovative leader in telecommunications engineering. Since 1998, their company has been assisting clients of all sizes with their unique requirements. TelPlexus has engineered more than 10,000 miles of fiber throughout the United States and has designed more than $250 million in infrastructure."
Osmose Utilities Services,"Osmose provides professional inspection, maintenance, and rehabilitation services for aging T&D infrastructure. Osmose also provides engineering services and data solutions - from GIS related surveys for network connectivity and joint use, to pole loading analysis for make-ready design and regulatory compliance. With more than 75 years of diverse experience as a foundation, Osmose proudly serves Americaﾂ痴 utilities as they build tomorrowﾂ痴 intelligent utility."
Weedee,"Weedee is a community based directory of people and organizations. It also allows you to tell your story and the stories of others and show how everybody and everything is linked together.

In other words, it is a yellow pages service where you can find anyone anywhere, and it has a Wiki engine that allows its users to write about people and organizations they know. "
RitAssist,"RitAssistﾂｮ provides intelligent GPS Tracking solutions for fleets and fleetowners

RitAssist is the Dutch market leader and provides an intelligent fleet management & control solution based on high-end GPS/GPRS-devices. RitAssist is used for real-time tracking & tracing, fleet management & control, asset management and many more. 
"
Birdpost,"Birdpost is poised to lead a burgeoning ""citizen science"" movement as a usable, innovative, and potent framework aimed at connecting nature and people in ways never before possible. Birdpost combines satellite mapping technology with the popular sport of birdwatching, dramatically modernizing, improving, and altering the hobby by solving birders' most vexing problem: where to find new bird species. Birdpost gives the estimated 18 million serious U.S. birders an online platform to chronicle, organize, map, and share their collective birding activities.

The cumulative data gathered by Birdpost's users will produce ""natural histories"" of local habitats and give conservationists, educators, and other nature enthusiasts the tools they need to better protect, understand, and the enjoy the environment. Ultimately, Birdpost's proprietary vehicle for grass-roots nature reporting will scale beyond birds to include other nature verticals such as wildlife, insects, reptiles, plants, fish, and trees, becoming a human-generated nature search engine."
Ambitious Minds,Ambitious Minds is an education specialist that delivers effective employability and life skills to young adults. Our work is supported by data-led research into the social and economic problems facing young people today.
Popego,"Popego is an Internet company building AI technology and innovative interfaces to create a more personal web based on the concept of user-controlled interest profiles. 

They envisioned a new dimension emerging over the social graph: Interests; and they have built a product capable of exploring this new dimension, modeling interests and synthesizing interest profiles for internet users based on all their online activity, extracting semantic information from their content and connections. 

Based on these interest models, their users can filter the web for those gems that are relevant and interesting to them. Besides interesting recommendations, their users can also share their interest profiles to show the world what they like and find people with matching interests.
 
The team got together in early 2007 with the vision of creating a more meaningful web that can adapt its contents to each user's interests, and a more credible web where you can discover the real people behind each username. A public beta will be launched in September. 

"
Jivjiv,"Jivjiv seeks to allow users to personalize their mobile phones with ring tones, pictures, and other media.  

The company entered the deadpool on August 25, 2008."
Reach Further,"Reach Further provides training and consultany in using social media for business.

Reachfurther brings people together online to share, to work and to learn in online communities and social media networks.

Who we are:

Reachfurther helps businesses & individuals make the most of the social web through training courses, consultancy, & social media strategy creation & delivery.

We've been doing social media since before the term was invented. Our biggest online community - with 3 million members in 170 countries is 12 years old this year. We've also run an online community for the United Nations, and an open eLearning researchers group at http://elesig.ning.com - held up by the inspectorate as ""the finest example of a sustainable community on the web.""

What we can do for you:

We help your business make the most of social media. Using free tools and simple strategies we save you money and time whilst improving your brand, reach and reputation, and increasing your sales. We do this by helping you engage your customers in conversation.

We can show you how to make the most of social networking with value-for-money practical workshops and planning. And when you are ready to reach further, we can help with online communities, social networking, eLearning and remote working.

How we work:

Reachfurther works with businesses, public services, educational & membership organisations to adopt & embed social and collaborative technologies to deliver learning & commercial advantage."
Foodproof,"FoodProof was a food community where users could post videos, photos, blogs, recipes, and more.

The company was composed of a small team of technologists and designers who built FoodProof from scratch, using primarily open source tools. Their video encoding framework was custom-built, and allowed for direct uploading of video content to the site, where it was processed and stored in [Amazon](/company/amazon)'s cloud.

"
Carperks,"Carperks provides a pre-negotiated, discount automotive purchasing and leasing program for corporate employees and members of organizations across America."
